SaleID,price
200000,14157.156205399948
200001,14300.81424836878
200002,15342.399323007576
200003,14219.884047544612
200004,9415.313314394167
200005,14152.0555438754
200006,13922.99981795071
200007,14734.572320101444
200008,15716.758535219318
200009,13995.678485589617
200010,13941.439457814266
200011,14486.011626201278
200012,14923.818384266602
200013,15282.840195126511
200014,11464.020818434983
200015,5791.927423776737
200016,14312.70983935559
200017,15364.727064665
200018,15198.350529121843
200019,13993.297569248352
200020,16551.38438038173
200021,15286.556685746244
200022,14402.907907125056
200023,9243.171176827684
200024,14073.34357033638
200025,15554.186300069556
200026,13979.87225693541
200027,15886.596998242441
200028,14865.086225042907
200029,15295.33051172455
200030,16276.150818170068
200031,15841.660639363068
200032,13975.963989358603
200033,16007.35292071024
200034,14038.601766545555
200035,14369.005406454242
200036,16027.522817654663
200037,15008.423718199261
200038,14229.052046493147
200039,13898.022950110906
200040,7871.504007115832
200041,16574.036014554855
200042,13909.285008927465
200043,15385.678633031737
200044,16216.11515588004
200045,13996.275447444845
200046,16207.52560191379
200047,16156.456295564341
200048,14409.16496944526
200049,11800.928018278584
200050,13978.939193965038
200051,14864.382438334105
200052,14566.796202706151
200053,7317.9023031571105
200054,15969.341934015603
200055,15573.009369744273
200056,15428.215744880945
200057,14682.748834736514
200058,14192.53391753356
200059,14953.95018021077
200060,15350.336869277051
200061,14194.196525755367
200062,14988.209987817147
200063,15431.125079737103
200064,14184.91213553767
200065,14337.686364011199
200066,13975.919159232917
200067,15734.833464855346
200068,13816.88582160155
200069,16212.914308503821
200070,15380.844546332024
200071,4162.726931529647
200072,15029.83283123259
200073,16056.962615270706
200074,14788.283851314465
200075,15774.153738208355
200076,14588.124862882938
200077,2741.106471240587
200078,13893.721120662842
200079,10526.192972039378
200080,14702.019417878775
200081,14370.173058448021
200082,14802.635717429566
200083,13929.604697086039
200084,14187.484244932108
200085,14335.525489008458
200086,15197.064597509518
200087,14663.331895319505
200088,14548.27927684009
200089,17076.354846830283
200090,14582.725948525731
200091,3662.635528333869
200092,14386.629647271511
200093,16296.097546232784
